id_venda,id_data,id_cliente,id_produto,id_localizacao,id_canal_venda,id_vendedor,id_status_entrega,id_meta,quantidade,preco_unitario,desconto,receita_bruta,receita,valor_desconto,custo_unitario,custo_total,lucro,margem_lucro,meta_venda,percentual_atingimento_meta,prazo_entrega_dias,data,ano,mes,trimestre,cliente,tipo_cliente,tempo_relacionamento_meses,faixa_renda,segmento,produto,categoria,marca,linha_produto,regiao,cidade,canal_venda,vendedor,status_entrega,atingiu_meta,mes_ano,ano_mes_ordem
14,20241215,0915ae7faaa972c9a96a791600141a098e7da9b5ebe417cfe9116e7b0d90484a,b8addf4def2d19c7988092c00365c86e6d7b20cac51abd2274d30338a7582bcc,cec1f71a2989ecf2d34d10058352eaaacb8b9424d321689236998c64ac16241b,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,8a0fe5ac0b3d841482673ba35385798ccfa9a97e0a1c13b603a1ae3067231add,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,4810.09,0.05,43290.81,41126.27,2164.54,3363.06,30267.54,10858.73,0.264,42444.58,0.9689,6,2024-12-15,2024,12,4,Cliente_144,RECORRENTE,39,ALTA,ATACADO,MOUSE,PERIFÉRICOS,BETA,PREMIUM,SUL,CURITIBA,LOJA,VENDEDOR_13,NO PRAZO,NÃO,12/2024,2024-12
15,20240624,826e489a38f60092455f687a377cebcbc33c4203a95e83c0ff31baea478eb331,24f75cbc42f094cd92584bc7946900ce9c04aceaa5f148d6e397b3044d0dc02b,ad8fab0905cb7f8e3dea787f1cd212aa130653b7e1f3458ac820fec2fba7b144,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,1893593e96de42c10626268102ac560be55ec8f654ffd3b3f8a3cd2a9344dc95,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,2,5263.98,0.12,10527.95,9264.6,1263.35,3214.32,6428.64,2835.96,0.3061,11740.49,0.7891,6,2024-06-24,2024,6,2,Cliente_054,NOVO,5,BAIXA,ATACADO,HEADSET,PERIFÉRICOS,ALPHA,PADRÃO,SUDESTE,SÃO PAULO,ONLINE,VENDEDOR_04,NO PRAZO,NÃO,06/2024,2024-06
16,20240813,6651b14cf81f8f8929945440a306efc8e530abf3eadc168f66246a688de832a5,4772ebd51e56614393f220e06225ea1d353d27199fbb2baa0b21a990cd6e37eb,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,703cabcafbad3301658913fc0a0a1ec3cd2008b0acbeaba92177a36ffcdf391a,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,5,3979.79,0.09,19898.95,18108.04,1790.91,2100.14,10500.7,7607.34,0.4201,20462.32,0.8849,12,2024-08-13,2024,8,3,Cliente_158,NOVO,5,MÉDIA,VAREJO,MOUSE,PERIFÉRICOS,ALPHA,ECONÔMICO,NORTE,MANAUS,ONLINE,VENDEDOR_07,ATRASADO,NÃO,08/2024,2024-08
17,20240718,3147ac425a56434a0bd35ce55852b02c21548b6979bb0ece8e8c81a285f7e824,b2f75dabec2a048aefadc51a8c64cc02873a772f53d41d6962e3d07e80539ed4,99621b38cebd51ac63078e040c33f7b6a2360f3f0cb29e70880c356f562ee6dd,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,1b68031508d05d5d38d9ca5ea43184a71cbbd009bf9bae2793d3cd4488cd0c07,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,326.11,0.13,2934.99,2553.44,381.55,261.9,2357.1,196.34,0.0769,3468.8,0.7361,7,2024-07-18,2024,7,3,Cliente_032,RECORRENTE,22,MÉDIA,VAREJO,HEADSET,PERIFÉRICOS,BETA,PREMIUM,CENTRO-OESTE,BRASÍLIA,LOJA,VENDEDOR_15,NO PRAZO,NÃO,07/2024,2024-07
18,20241015,9c8bb9bb4b94d61ecfe51b24619c32c3f9749760c157ac1cbd6ec512a81dd74b,12c7af83ec0c33cc022115c09e16434d292a88f56093ad0a5644b868cefe8668,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,b94d49648e0b3b3c78f5ede3c296463d3e65f1e2ebf8dd49dcf760016b233b96,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,3,4984.44,0.03,14953.32,14504.72,448.6,4369.98,13109.94,1394.78,0.0962,16414.97,0.8836,2,2024-10-15,2024,10,4,Cliente_088,NOVO,5,ALTA,ATACADO,IMPRESSORA,INFORMÁTICA,DELTA,PADRÃO,NORTE,MANAUS,LOJA,VENDEDOR_06,NO PRAZO,NÃO,10/2024,2024-10
19,20241218,e49f79d9b729c8f1c2a0839672306d095bf245571e7b57f2eb0e0a7480fa125b,22d6be3bde4eefd67c7ece878edfe875b454c7f6d9d45743058336e6a67bc52c,d43768c95fe9af925f6782508fc4a83dfcbe61578ed2264c3eee8404ca732eb3,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,f5b0e198f086f8f865157507d872a80c97b657a9a830f5d9b4c650be6237d1ea,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,3302.09,0.0,29718.81,29718.81,0.0,2203.7,19833.3,9885.51,0.3326,31098.64,0.9556,8,2024-12-18,2024,12,4,Cliente_077,NOVO,2,ALTA,VAREJO,NOTEBOOK,INFORMÁTICA,BETA,PREMIUM,CENTRO-OESTE,GOIÂNIA,LOJA,VENDEDOR_17,ATRASADO,NÃO,12/2024,2024-12
20,20240102,197964c688596e34ea75f0b710636eeb7cdd72fe2e273628826dd6dd1f9fed7e,091badf2509cdebb2941ee24d9072e450cd9ee5b698902695a140492c20d36fc,c41a560d27bdc15e0f1e2e48bb1f763998050a0b14d7ef849816dc81c21246ef,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,8a0fe5ac0b3d841482673ba35385798ccfa9a97e0a1c13b603a1ae3067231add,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,7,3339.21,0.12,23374.47,20569.53,2804.94,2367.62,16573.34,3996.19,0.1943,27940.43,0.7362,2,2024-01-02,2024,1,1,Cliente_195,NOVO,0,ALTA,VAREJO,MOUSE,PERIFÉRICOS,BETA,PADRÃO,NORDESTE,RECIFE,ONLINE,VENDEDOR_13,NO PRAZO,NÃO,01/2024,2024-01
21,20241110,f0f8d0022d2f86c0d63a4df1b67810692dad669a9d04ecec4f0dc96eb973d0bf,7019bc41ecabdf05ebb511ec21fbb1fd7b6deb766e1a0b5ecfac3a99b7501f5a,aabec5e3b55593a13c78786021d346fc0875579168cbe51baaa7888cec5450fa,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,703cabcafbad3301658913fc0a0a1ec3cd2008b0acbeaba92177a36ffcdf391a,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,2,2693.86,0.21,5387.72,4256.3,1131.42,2121.93,4243.86,12.44,0.0029,5923.75,0.7185,11,2024-11-10,2024,11,4,Cliente_072,NOVO,2,BAIXA,ATACADO,MONITOR,INFORMÁTICA,BETA,PREMIUM,SUDESTE,RIO DE JANEIRO,LOJA,VENDEDOR_07,ATRASADO,NÃO,11/2024,2024-11
22,20241106,03eb39e8b3b468db731d4e744304d2131155632086725bda80feabf6dc7a1f73,46d0107199b44facf9db2724708d6ceb0040373695eca105a2bd8dc7991f932a,99621b38cebd51ac63078e040c33f7b6a2360f3f0cb29e70880c356f562ee6dd,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,703cabcafbad3301658913fc0a0a1ec3cd2008b0acbeaba92177a36ffcdf391a,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,9,1055.12,0.07,9496.08,8831.35,664.73,542.55,4882.95,3948.4,0.4471,10887.32,0.8112,2,2024-11-06,2024,11,4,Cliente_027,NOVO,2,BAIXA,VAREJO,MOUSE,PERIFÉRICOS,DELTA,PREMIUM,CENTRO-OESTE,BRASÍLIA,LOJA,VENDEDOR_07,NO PRAZO,NÃO,11/2024,2024-11
23,20240110,4c21636ed471e60260120dc709f456c162f085d0d25381ea0cbb242ee4e4015a,091badf2509cdebb2941ee24d9072e450cd9ee5b698902695a140492c20d36fc,cec1f71a2989ecf2d34d10058352eaaacb8b9424d321689236998c64ac16241b,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,8a0fe5ac0b3d841482673ba35385798ccfa9a97e0a1c13b603a1ae3067231add,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,1,456.64,0.01,456.64,452.07,4.57,255.62,255.62,196.45,0.4346,506.42,0.8927,1,2024-01-10,2024,1,1,Cliente_089,RECORRENTE,47,ALTA,VAREJO,MOUSE,PERIFÉRICOS,BETA,PADRÃO,SUL,CURITIBA,ONLINE,VENDEDOR_13,NO PRAZO,NÃO,01/2024,2024-01
24,20241023,27f3bf22c8ebdf503c4d728ffdd82f44e91e6a5156a1ef0585362ecdf9b22a0e,c4f29f7c85da8559ec7e150dce7508c19559e3181019ac1276d6b41258dee945,aabec5e3b55593a13c78786021d346fc0875579168cbe51baaa7888cec5450fa,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,da571b9283e30a2c78fb144ca3a1089486cd3593762478dbdf371a13bc9b65e8,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,6,2041.63,0.24,12249.78,9309.83,2939.95,1502.92,9017.52,292.31,0.0314,11912.68,0.7815,12,2024-10-23,2024,10,4,Cliente_102,NOVO,4,ALTA,ATACADO,MONITOR,INFORMÁTICA,DELTA,ECONÔMICO,SUDESTE,RIO DE JANEIRO,LOJA,VENDEDOR_03,ATRASADO,NÃO,10/2024,2024-10
25,20240515,ded50497546c8fe7550b65bff3f70cc995e8d8e43da2b9369b6fa13f131af525,182da5a0edcbd36596101a9f852c8665cc6cfd3ee3fcbbdfbacd75d3c0f7ac59,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,43e8f5d662b0b8fe849681a74807abf57d114d77b90c6704f5c6540d4bf73038,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,2,2093.2,0.03,4186.4,4060.81,125.59,1249.98,2499.96,1560.85,0.3844,4208.09,0.965,3,2024-05-15,2024,5,2,Cliente_038,RECORRENTE,29,ALTA,ATACADO,TABLET,INFORMÁTICA,BETA,ECONÔMICO,NORTE,MANAUS,LOJA,VENDEDOR_05,NO PRAZO,NÃO,05/2024,2024-05
26,20240415,b49998f5e70c3b1b490f405f8f62cf8e3cf5dc451cd07576bb93a5dc49a5d858,9084ccb5e733c67c81f0e2d7da9e697e53cb7986e5ff1fa61c298f71935668c7,074f2ea914ee2ae5e91710145dcff941b60981de3c50196ff5e4b457da28b568,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,703cabcafbad3301658913fc0a0a1ec3cd2008b0acbeaba92177a36ffcdf391a,d99d23eaa65b3d3c7ed13321f0d474722f1af0189a982e94f81b04ef3d452e61,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,1,5482.9,0.1,5482.9,4934.61,548.29,4630.09,4630.09,304.52,0.0617,5675.42,0.8695,8,2024-04-15,2024,4,2,Cliente_055,RECORRENTE,14,BAIXA,VAREJO,TABLET,INFORMÁTICA,ALPHA,ECONÔMICO,NORTE,MANAUS,LOJA,VENDEDOR_07,ATRASADO,NÃO,04/2024,2024-04
27,20240818,988839ce53a05a74ad11a3a6ee4856a2d7c209262510487c174ac136e8038549,184f1a8b0b04aa8427b824095b7503d0fc55668f24c40df05a37607f5c89345b,99621b38cebd51ac63078e040c33f7b6a2360f3f0cb29e70880c356f562ee6dd,872830f56dd50487417feb18b854c49a269c246ac519d7499cf522918cb62770,86e2c6991943a3ac90d5d11f6fe3a7c597fe777d0bfbd2fbe9d31c56be19df33,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,2,1345.97,0.18,2691.94,2207.39,484.55,847.31,1694.62,512.77,0.2323,2984.84,0.7395,2,2024-08-18,2024,8,3,Cliente_016,RECORRENTE,32,BAIXA,ATACADO,TECLADO,PERIFÉRICOS,BETA,PREMIUM,CENTRO-OESTE,BRASÍLIA,LOJA,VENDEDOR_19,NO PRAZO,NÃO,08/2024,2024-08
28,20241219,3ff31e45f699e5e795bc8b26450cd90d856d8de8fd250bb40e29859b4165a0f3,b2f75dabec2a048aefadc51a8c64cc02873a772f53d41d6962e3d07e80539ed4,3d4103fcdea59f90bbd612ddd26c449be72a3de619728ac1cffcbedcb3804335,ac7e24813998d31d5e116002bcd241061b59884f2db9167c1b976e9c151b8e1e,b94d49648e0b3b3c78f5ede3c296463d3e65f1e2ebf8dd49dcf760016b233b96,718702ffb8217f83e966caa9ce461a9b74273325d2868d60744fe33169e191e9,199d4fe8fbad751fabf348a4f1e5c589d1b1ccceaeed40e570df173bb7151718,1,4159.1,0.19,4159.1,3368.87,790.23,3033.53,3033.53,335.34,0.0995,4939.25,0.6821,2,2024-12-19,2024,12,4,Cliente_156,RECORRENTE,9,BAIXA,VAREJO,HEADSET,PERIFÉRICOS,BETA,PREMIUM,NORDESTE,SALVADOR,ONLINE,VENDEDOR_06,NO PRAZO,NÃO,12/2024,2024-12
